latitude,longitude,time,meanResponse,sdResponse,missing,outlier
-29.375,-44.0625,2017-07-01T09:20:00,0.127,0.026,False,False
-28.125,-44.0625,2017-07-01T09:20:00,0.086,0.010000001,False,False
-26.875,-44.0625,2017-07-01T09:20:00,0.106000006,0.006,False,False
-25.625,-44.0625,2017-07-01T09:20:00,0.224,0.020000001,False,False
-24.375,-44.0625,2017-07-01T09:20:00,0.231,0.011000001,False,False
-23.125,-44.0625,2017-07-01T09:20:00,0.33600003,0.0,False,False
-21.875,-44.0625,2017-07-01T09:20:00,0.10300001,0.012,False,False
-20.625,-44.0625,2017-07-01T09:20:00,0.066,0.019000001,False,False
-19.375,-44.0625,2017-07-01T09:20:00,0.058000002,0.015000001,False,False
-18.125,-44.0625,2017-07-01T09:20:00,0.038000003,0.020000001,False,False
-16.875,-44.0625,2017-07-01T09:20:00,0.018000001,0.018000001,False,False
-15.625,-44.0625,2017-07-01T09:20:00,0.024,0.019000001,False,False
-14.375,-44.0625,2017-07-01T09:20:00,0.020000001,0.021000002,False,False
-13.125,-44.0625,2017-07-01T09:20:00,0.009000001,0.019000001,False,False
-11.875,-44.0625,2017-07-01T09:20:00,,,True,False
-10.625,-44.0625,2017-07-01T09:20:00,,,True,False
-9.375,-44.0625,2017-07-01T09:20:00,,,True,False
-8.125,-44.0625,2017-07-01T09:20:00,,,True,False
-6.875,-44.0625,2017-07-01T09:20:00,,,True,False
-5.625,-44.0625,2017-07-01T09:20:00,,,True,False
-4.375,-44.0625,2017-07-01T09:20:00,,,True,False
-3.125,-44.0625,2017-07-01T09:20:00,,,True,False
-1.875,-44.0625,2017-07-01T09:20:00,,,True,False
-0.625,-44.0625,2017-07-01T09:20:00,0.14600001,0.006999999999999999,False,False
0.625,-44.0625,2017-07-01T09:20:00,0.10300001,0.014,False,False
1.875,-44.0625,2017-07-01T09:20:00,0.09200001,0.009000001,False,False
3.125,-44.0625,2017-07-01T09:20:00,0.17800000000000002,0.020000001,False,False
4.375,-44.0625,2017-07-01T09:20:00,0.16399999999999998,0.041,False,False
5.625,-44.0625,2017-07-01T09:20:00,0.19100001,0.039,False,False
6.875,-44.0625,2017-07-01T09:20:00,0.303,0.016,False,False
8.125,-44.0625,2017-07-01T09:20:00,0.70400006,0.080000006,False,False
9.375,-44.0625,2017-07-01T09:20:00,0.59800005,0.032,False,False
-29.375,-42.1875,2017-07-01T09:20:00,0.098000005,0.039,False,False
-28.125,-42.1875,2017-07-01T09:20:00,0.11000001,0.024,False,False
-26.875,-42.1875,2017-07-01T09:20:00,,,True,False
-25.625,-42.1875,2017-07-01T09:20:00,0.172,0.031000001,False,False
-24.375,-42.1875,2017-07-01T09:20:00,0.142,0.016,False,False
-23.125,-42.1875,2017-07-01T09:20:00,0.158,0.039,False,False
-21.875,-42.1875,2017-07-01T09:20:00,0.044000003,0.010000001,False,False
-20.625,-42.1875,2017-07-01T09:20:00,0.034,0.014,False,False
-19.375,-42.1875,2017-07-01T09:20:00,0.034,0.014,False,False
-18.125,-42.1875,2017-07-01T09:20:00,0.020000001,0.014,False,False
-16.875,-42.1875,2017-07-01T09:20:00,0.034,0.038000003,False,False
-15.625,-42.1875,2017-07-01T09:20:00,,,True,False
-14.375,-42.1875,2017-07-01T09:20:00,0.098000005,0.018000001,False,False
-13.125,-42.1875,2017-07-01T09:20:00,0.07300001,0.036000002,False,False
-11.875,-42.1875,2017-07-01T09:20:00,0.063,0.032,False,False
-10.625,-42.1875,2017-07-01T09:20:00,,,True,False
-9.375,-42.1875,2017-07-01T09:20:00,,,True,False
-8.125,-42.1875,2017-07-01T09:20:00,0.021000002,0.025,False,False
-6.875,-42.1875,2017-07-01T09:20:00,0.043,0.013,False,False
-5.625,-42.1875,2017-07-01T09:20:00,,,True,False
-4.375,-42.1875,2017-07-01T09:20:00,,,True,False
-3.125,-42.1875,2017-07-01T09:20:00,,,True,False
-1.875,-42.1875,2017-07-01T09:20:00,,,True,False
-0.625,-42.1875,2017-07-01T09:20:00,,,True,False
0.625,-42.1875,2017-07-01T09:20:00,,,True,False
1.875,-42.1875,2017-07-01T09:20:00,,,True,False
3.125,-42.1875,2017-07-01T09:20:00,,,True,False
4.375,-42.1875,2017-07-01T09:20:00,,,True,False
5.625,-42.1875,2017-07-01T09:20:00,,,True,False
6.875,-42.1875,2017-07-01T09:20:00,,,True,False
8.125,-42.1875,2017-07-01T09:20:00,0.643,0.063,False,False
9.375,-42.1875,2017-07-01T09:20:00,0.61700004,0.023000002,False,False
-29.375,-40.3125,2017-07-01T09:20:00,0.13100001,0.032,False,False
-28.125,-40.3125,2017-07-01T09:20:00,0.142,0.056,False,False
-26.875,-40.3125,2017-07-01T09:20:00,0.15900001,0.044000003,False,False
-25.625,-40.3125,2017-07-01T09:20:00,0.162,0.045,False,False
-24.375,-40.3125,2017-07-01T09:20:00,0.185,0.054000000000000006,False,False
-23.125,-40.3125,2017-07-01T09:20:00,0.093,0.013,False,False
-21.875,-40.3125,2017-07-01T09:20:00,0.063,0.014,False,False
-20.625,-40.3125,2017-07-01T09:20:00,0.054000000000000006,0.019000001,False,False
-19.375,-40.3125,2017-07-01T09:20:00,0.037000000000000005,0.026,False,False
-18.125,-40.3125,2017-07-01T09:20:00,0.032,0.019000001,False,False
-16.875,-40.3125,2017-07-01T09:20:00,,,True,False
-15.625,-40.3125,2017-07-01T09:20:00,,,True,False
-14.375,-40.3125,2017-07-01T09:20:00,,,True,False
-13.125,-40.3125,2017-07-01T09:20:00,,,True,False
-11.875,-40.3125,2017-07-01T09:20:00,,,True,False
-10.625,-40.3125,2017-07-01T09:20:00,,,True,False
-9.375,-40.3125,2017-07-01T09:20:00,,,True,False
-8.125,-40.3125,2017-07-01T09:20:00,,,True,False
-6.875,-40.3125,2017-07-01T09:20:00,,,True,False
-5.625,-40.3125,2017-07-01T09:20:00,,,True,False
-4.375,-40.3125,2017-07-01T09:20:00,,,True,False
-3.125,-40.3125,2017-07-01T09:20:00,,,True,False
-1.875,-40.3125,2017-07-01T09:20:00,0.096,0.015000001,False,False
-0.625,-40.3125,2017-07-01T09:20:00,0.08800001,0.005000000399999999,False,False
0.625,-40.3125,2017-07-01T09:20:00,0.097,0.006999999999999999,False,False
1.875,-40.3125,2017-07-01T09:20:00,0.112,0.015000001,False,False
3.125,-40.3125,2017-07-01T09:20:00,0.157,0.009000001,False,False
4.375,-40.3125,2017-07-01T09:20:00,0.141,0.019000001,False,False
5.625,-40.3125,2017-07-01T09:20:00,,,True,False
6.875,-40.3125,2017-07-01T09:20:00,,,True,False
8.125,-40.3125,2017-07-01T09:20:00,,,True,False
9.375,-40.3125,2017-07-01T09:20:00,,,True,False
-29.375,-38.4375,2017-07-01T09:20:00,0.17300001,0.05,False,False
-28.125,-38.4375,2017-07-01T09:20:00,0.156,0.055000003,False,False
-26.875,-38.4375,2017-07-01T09:20:00,0.201,0.045,False,False
-25.625,-38.4375,2017-07-01T09:20:00,0.19100001,0.046000004,False,False
-24.375,-38.4375,2017-07-01T09:20:00,0.14600001,0.054000000000000006,False,False
-23.125,-38.4375,2017-07-01T09:20:00,0.071,0.018000001,False,False
-21.875,-38.4375,2017-07-01T09:20:00,0.041,0.014,False,False
-20.625,-38.4375,2017-07-01T09:20:00,0.058000002,0.018000001,False,False
-19.375,-38.4375,2017-07-01T09:20:00,0.051000003,0.019000001,False,False
-18.125,-38.4375,2017-07-01T09:20:00,0.039,0.013,False,False
-16.875,-38.4375,2017-07-01T09:20:00,0.09200001,0.035,False,False
-15.625,-38.4375,2017-07-01T09:20:00,0.098000005,0.004,False,False
-14.375,-38.4375,2017-07-01T09:20:00,0.124000005,0.017,False,False
-13.125,-38.4375,2017-07-01T09:20:00,0.105000004,0.015000001,False,False
-11.875,-38.4375,2017-07-01T09:20:00,,,True,False
-10.625,-38.4375,2017-07-01T09:20:00,,,True,False
-9.375,-38.4375,2017-07-01T09:20:00,,,True,False
-8.125,-38.4375,2017-07-01T09:20:00,,,True,False
-6.875,-38.4375,2017-07-01T09:20:00,,,True,False
-5.625,-38.4375,2017-07-01T09:20:00,,,True,False
-4.375,-38.4375,2017-07-01T09:20:00,,,True,False
-3.125,-38.4375,2017-07-01T09:20:00,0.18300001,0.046000004,False,False
-1.875,-38.4375,2017-07-01T09:20:00,0.09900001,0.011000001,False,False
-0.625,-38.4375,2017-07-01T09:20:00,0.096,0.009000001,False,False
0.625,-38.4375,2017-07-01T09:20:00,0.095000006,0.012,False,False
1.875,-38.4375,2017-07-01T09:20:00,0.116000004,0.009000001,False,False
3.125,-38.4375,2017-07-01T09:20:00,0.134,0.013,False,False
4.375,-38.4375,2017-07-01T09:20:00,0.147,0.010000001,False,False
5.625,-38.4375,2017-07-01T09:20:00,0.177,0.039,False,False
6.875,-38.4375,2017-07-01T09:20:00,0.120000005,0.017,False,False
8.125,-38.4375,2017-07-01T09:20:00,0.30800003,0.028,False,False
9.375,-38.4375,2017-07-01T09:20:00,0.469,0.020000001,False,False
-29.375,-36.5625,2017-07-01T09:20:00,0.16000001,0.046000004,False,False
-28.125,-36.5625,2017-07-01T09:20:00,0.095000006,0.064,False,False
-26.875,-36.5625,2017-07-01T09:20:00,0.179,0.048,False,False
